ENG_PROJ_CODE,ENG_PROJ_DESC,NOTIF_CREATION_DT,REPAIR_CNT
DXX,MY_PRODUCT,9/20/19,59
DXX,MY_PRODUCT,9/21/19,200
DXX,MY_PRODUCT,9/22/19,203
DXX,MY_PRODUCT,9/23/19,343
DXX,MY_PRODUCT,9/24/19,351
DXX,MY_PRODUCT,9/25/19,435
DXX,MY_PRODUCT,9/26/19,485
DXX,MY_PRODUCT,9/27/19,477
DXX,MY_PRODUCT,9/28/19,507
DXX,MY_PRODUCT,9/29/19,403
DXX,MY_PRODUCT,9/30/19,653
DXX,MY_PRODUCT,10/1/19,603
DXX,MY_PRODUCT,10/2/19,653
DXX,MY_PRODUCT,10/3/19,621
DXX,MY_PRODUCT,10/4/19,729
DXX,MY_PRODUCT,10/5/19,684
DXX,MY_PRODUCT,10/6/19,520
DXX,MY_PRODUCT,10/7/19,792
DXX,MY_PRODUCT,10/8/19,815
DXX,MY_PRODUCT,10/9/19,766
DXX,MY_PRODUCT,10/10/19,798
DXX,MY_PRODUCT,10/11/19,847
DXX,MY_PRODUCT,10/12/19,836
DXX,MY_PRODUCT,10/13/19,670
DXX,MY_PRODUCT,10/14/19,973
DXX,MY_PRODUCT,10/15/19,957
DXX,MY_PRODUCT,10/16/19,1012
DXX,MY_PRODUCT,10/17/19,959
DXX,MY_PRODUCT,10/18/19,1039
DXX,MY_PRODUCT,10/19/19,1043
DXX,MY_PRODUCT,10/20/19,722
DXX,MY_PRODUCT,10/21/19,1191
DXX,MY_PRODUCT,10/22/19,1137
DXX,MY_PRODUCT,10/23/19,1152
DXX,MY_PRODUCT,10/24/19,1170
DXX,MY_PRODUCT,10/25/19,1172
DXX,MY_PRODUCT,10/26/19,1127
DXX,MY_PRODUCT,10/27/19,869
DXX,MY_PRODUCT,10/28/19,1375
DXX,MY_PRODUCT,10/29/19,1207
DXX,MY_PRODUCT,10/30/19,1236
DXX,MY_PRODUCT,10/31/19,1274
DXX,MY_PRODUCT,11/1/19,1273
DXX,MY_PRODUCT,11/2/19,1267
DXX,MY_PRODUCT,11/3/19,967
DXX,MY_PRODUCT,11/4/19,1509
DXX,MY_PRODUCT,11/5/19,1445
DXX,MY_PRODUCT,11/6/19,1471
DXX,MY_PRODUCT,11/7/19,1434
DXX,MY_PRODUCT,11/8/19,1480
DXX,MY_PRODUCT,11/9/19,1357
DXX,MY_PRODUCT,11/10/19,947
DXX,MY_PRODUCT,11/11/19,1583
DXX,MY_PRODUCT,11/12/19,1490
DXX,MY_PRODUCT,11/13/19,1569
DXX,MY_PRODUCT,11/14/19,1526
DXX,MY_PRODUCT,11/15/19,1523
DXX,MY_PRODUCT,11/16/19,1440
DXX,MY_PRODUCT,11/17/19,1031
DXX,MY_PRODUCT,11/18/19,1813
DXX,MY_PRODUCT,11/19/19,1786
DXX,MY_PRODUCT,11/20/19,1710
DXX,MY_PRODUCT,11/21/19,1656
DXX,MY_PRODUCT,11/22/19,1729
DXX,MY_PRODUCT,11/23/19,1479
DXX,MY_PRODUCT,11/24/19,1129
DXX,MY_PRODUCT,11/25/19,1909
DXX,MY_PRODUCT,11/26/19,1819
DXX,MY_PRODUCT,11/27/19,1824
DXX,MY_PRODUCT,11/28/19,963
DXX,MY_PRODUCT,11/29/19,1596
DXX,MY_PRODUCT,11/30/19,1532
DXX,MY_PRODUCT,12/1/19,1194
DXX,MY_PRODUCT,12/2/19,1998
DXX,MY_PRODUCT,12/3/19,1984
DXX,MY_PRODUCT,12/4/19,1957
DXX,MY_PRODUCT,12/5/19,1941
DXX,MY_PRODUCT,12/6/19,1826
DXX,MY_PRODUCT,12/7/19,1704
DXX,MY_PRODUCT,12/8/19,1321
DXX,MY_PRODUCT,12/9/19,2031
DXX,MY_PRODUCT,12/10/19,2029
DXX,MY_PRODUCT,12/11/19,2059
DXX,MY_PRODUCT,12/12/19,2086
DXX,MY_PRODUCT,12/13/19,1843
DXX,MY_PRODUCT,12/14/19,1737
DXX,MY_PRODUCT,12/15/19,1429
DXX,MY_PRODUCT,12/16/19,2325
DXX,MY_PRODUCT,12/17/19,2136
DXX,MY_PRODUCT,12/18/19,2182
DXX,MY_PRODUCT,12/19/19,2111
DXX,MY_PRODUCT,12/20/19,2085
DXX,MY_PRODUCT,12/21/19,1779
DXX,MY_PRODUCT,12/22/19,1514
DXX,MY_PRODUCT,12/23/19,2360
DXX,MY_PRODUCT,12/24/19,1808
DXX,MY_PRODUCT,12/25/19,628
DXX,MY_PRODUCT,12/26/19,2182
DXX,MY_PRODUCT,12/27/19,2369
DXX,MY_PRODUCT,12/28/19,1987
DXX,MY_PRODUCT,12/29/19,1463
DXX,MY_PRODUCT,12/30/19,2340
DXX,MY_PRODUCT,12/31/19,1772
DXX,MY_PRODUCT,1/1/20,1220
DXX,MY_PRODUCT,1/2/20,2532
DXX,MY_PRODUCT,1/3/20,2491
DXX,MY_PRODUCT,1/4/20,2235
DXX,MY_PRODUCT,1/5/20,1543
DXX,MY_PRODUCT,1/6/20,2663
DXX,MY_PRODUCT,1/7/20,2728
DXX,MY_PRODUCT,1/8/20,2606
DXX,MY_PRODUCT,1/9/20,2470
DXX,MY_PRODUCT,1/10/20,2486
DXX,MY_PRODUCT,1/11/20,2319
DXX,MY_PRODUCT,1/12/20,1675
DXX,MY_PRODUCT,1/13/20,2727
DXX,MY_PRODUCT,1/14/20,2619
DXX,MY_PRODUCT,1/15/20,2614
DXX,MY_PRODUCT,1/16/20,2699
DXX,MY_PRODUCT,1/17/20,2503
DXX,MY_PRODUCT,1/18/20,2229
DXX,MY_PRODUCT,1/19/20,1570
DXX,MY_PRODUCT,1/20/20,2744
DXX,MY_PRODUCT,1/21/20,2558
DXX,MY_PRODUCT,1/22/20,2383
DXX,MY_PRODUCT,1/23/20,2170
DXX,MY_PRODUCT,1/24/20,2033
DXX,MY_PRODUCT,1/25/20,1857
DXX,MY_PRODUCT,1/26/20,1486
DXX,MY_PRODUCT,1/27/20,2380
DXX,MY_PRODUCT,1/28/20,2209
DXX,MY_PRODUCT,1/29/20,2138
DXX,MY_PRODUCT,1/30/20,2019
DXX,MY_PRODUCT,1/31/20,2196
DXX,MY_PRODUCT,2/1/20,2047
DXX,MY_PRODUCT,2/2/20,1364
DXX,MY_PRODUCT,2/3/20,2440
DXX,MY_PRODUCT,2/4/20,2375
DXX,MY_PRODUCT,2/5/20,2312
DXX,MY_PRODUCT,2/6/20,2084
DXX,MY_PRODUCT,2/7/20,2295
DXX,MY_PRODUCT,2/8/20,2059
DXX,MY_PRODUCT,2/9/20,1395
DXX,MY_PRODUCT,2/10/20,2559
DXX,MY_PRODUCT,2/11/20,2438
DXX,MY_PRODUCT,2/12/20,2343
DXX,MY_PRODUCT,2/13/20,2286
DXX,MY_PRODUCT,2/14/20,2176
DXX,MY_PRODUCT,2/15/20,2029
DXX,MY_PRODUCT,2/16/20,1512
DXX,MY_PRODUCT,2/17/20,2643
DXX,MY_PRODUCT,2/18/20,2537
DXX,MY_PRODUCT,2/19/20,2463
DXX,MY_PRODUCT,2/20/20,2497
DXX,MY_PRODUCT,2/21/20,2502
DXX,MY_PRODUCT,2/22/20,2266
DXX,MY_PRODUCT,2/23/20,1691
DXX,MY_PRODUCT,2/24/20,2789
DXX,MY_PRODUCT,2/25/20,2615
DXX,MY_PRODUCT,2/26/20,2691
DXX,MY_PRODUCT,2/27/20,2889
DXX,MY_PRODUCT,2/28/20,2645
DXX,MY_PRODUCT,2/29/20,2550
DXX,MY_PRODUCT,3/1/20,1892
DXX,MY_PRODUCT,3/2/20,3051
DXX,MY_PRODUCT,3/3/20,2976
DXX,MY_PRODUCT,3/4/20,2770
DXX,MY_PRODUCT,3/5/20,2913
DXX,MY_PRODUCT,3/6/20,2755
DXX,MY_PRODUCT,3/7/20,2596
DXX,MY_PRODUCT,3/8/20,1895
DXX,MY_PRODUCT,3/9/20,2983
DXX,MY_PRODUCT,3/10/20,2935
DXX,MY_PRODUCT,3/11/20,2764
DXX,MY_PRODUCT,3/12/20,2940
DXX,MY_PRODUCT,3/13/20,2700
DXX,MY_PRODUCT,3/14/20,1412
DXX,MY_PRODUCT,3/15/20,1107
DXX,MY_PRODUCT,3/16/20,1928
DXX,MY_PRODUCT,3/17/20,1921
DXX,MY_PRODUCT,3/18/20,1764
DXX,MY_PRODUCT,3/19/20,1661
DXX,MY_PRODUCT,3/20/20,1461
DXX,MY_PRODUCT,3/21/20,1099
DXX,MY_PRODUCT,3/22/20,859
DXX,MY_PRODUCT,3/23/20,1654
DXX,MY_PRODUCT,3/24/20,1570
DXX,MY_PRODUCT,3/25/20,1466
DXX,MY_PRODUCT,3/26/20,1554
DXX,MY_PRODUCT,3/27/20,1460
DXX,MY_PRODUCT,3/28/20,1010
DXX,MY_PRODUCT,3/29/20,820
DXX,MY_PRODUCT,3/30/20,1663
DXX,MY_PRODUCT,3/31/20,1658
DXX,MY_PRODUCT,4/1/20,1701
DXX,MY_PRODUCT,4/2/20,1627
DXX,MY_PRODUCT,4/3/20,1645
DXX,MY_PRODUCT,4/4/20,1093
DXX,MY_PRODUCT,4/5/20,875
DXX,MY_PRODUCT,4/6/20,1775
DXX,MY_PRODUCT,4/7/20,1777
DXX,MY_PRODUCT,4/8/20,1677
DXX,MY_PRODUCT,4/9/20,1723
DXX,MY_PRODUCT,4/10/20,1499
DXX,MY_PRODUCT,4/11/20,1227
DXX,MY_PRODUCT,4/12/20,867
DXX,MY_PRODUCT,4/13/20,1863
DXX,MY_PRODUCT,4/14/20,2130
DXX,MY_PRODUCT,4/15/20,1945
DXX,MY_PRODUCT,4/16/20,2003
DXX,MY_PRODUCT,4/17/20,1928
DXX,MY_PRODUCT,4/18/20,1326
DXX,MY_PRODUCT,4/19/20,1142
DXX,MY_PRODUCT,4/20/20,2116
DXX,MY_PRODUCT,4/21/20,2096
DXX,MY_PRODUCT,4/22/20,2050
DXX,MY_PRODUCT,4/23/20,2128
DXX,MY_PRODUCT,4/24/20,1903
DXX,MY_PRODUCT,4/25/20,1406
DXX,MY_PRODUCT,4/26/20,1064
DXX,MY_PRODUCT,4/27/20,2302
DXX,MY_PRODUCT,4/28/20,2234
DXX,MY_PRODUCT,4/29/20,2162
DXX,MY_PRODUCT,4/30/20,2154
DXX,MY_PRODUCT,5/1/20,1618
DXX,MY_PRODUCT,5/2/20,1371
DXX,MY_PRODUCT,5/3/20,1174
DXX,MY_PRODUCT,5/4/20,2652
DXX,MY_PRODUCT,5/5/20,2530
DXX,MY_PRODUCT,5/6/20,2620
DXX,MY_PRODUCT,5/7/20,2653
DXX,MY_PRODUCT,5/8/20,2249
DXX,MY_PRODUCT,5/9/20,1710
DXX,MY_PRODUCT,5/10/20,1251
DXX,MY_PRODUCT,5/11/20,2966
DXX,MY_PRODUCT,5/12/20,2762
DXX,MY_PRODUCT,5/13/20,2856
DXX,MY_PRODUCT,5/14/20,2702
DXX,MY_PRODUCT,5/15/20,2762
DXX,MY_PRODUCT,5/16/20,1526
DXX,MY_PRODUCT,5/17/20,1525
DXX,MY_PRODUCT,5/18/20,3245
DXX,MY_PRODUCT,5/19/20,3176
DXX,MY_PRODUCT,5/20/20,2967
DXX,MY_PRODUCT,5/21/20,2702
DXX,MY_PRODUCT,5/22/20,2617
DXX,MY_PRODUCT,5/23/20,1990
DXX,MY_PRODUCT,5/24/20,1583
DXX,MY_PRODUCT,5/25/20,2450
DXX,MY_PRODUCT,5/26/20,3190
DXX,MY_PRODUCT,5/27/20,3460
DXX,MY_PRODUCT,5/28/20,3265
DXX,MY_PRODUCT,5/29/20,3059
DXX,MY_PRODUCT,5/30/20,2253
DXX,MY_PRODUCT,5/31/20,1708
DXX,MY_PRODUCT,6/1/20,3243
DXX,MY_PRODUCT,6/2/20,3515
DXX,MY_PRODUCT,6/3/20,3366
DXX,MY_PRODUCT,6/4/20,3353
DXX,MY_PRODUCT,6/5/20,3125
DXX,MY_PRODUCT,6/6/20,2594
DXX,MY_PRODUCT,6/7/20,2041
DXX,MY_PRODUCT,6/8/20,3908
DXX,MY_PRODUCT,6/9/20,3991
DXX,MY_PRODUCT,6/10/20,3911
DXX,MY_PRODUCT,6/11/20,3569
DXX,MY_PRODUCT,6/12/20,3495
DXX,MY_PRODUCT,6/13/20,2796
DXX,MY_PRODUCT,6/14/20,2149
DXX,MY_PRODUCT,6/15/20,4269
DXX,MY_PRODUCT,6/16/20,4078
DXX,MY_PRODUCT,6/17/20,4173
DXX,MY_PRODUCT,6/18/20,3949
DXX,MY_PRODUCT,6/19/20,3648
DXX,MY_PRODUCT,6/20/20,3245
DXX,MY_PRODUCT,6/21/20,2220
DXX,MY_PRODUCT,6/22/20,4333
DXX,MY_PRODUCT,6/23/20,4389
DXX,MY_PRODUCT,6/24/20,4343
DXX,MY_PRODUCT,6/25/20,4249
DXX,MY_PRODUCT,6/26/20,3842
DXX,MY_PRODUCT,6/27/20,3377
DXX,MY_PRODUCT,6/28/20,2674
DXX,MY_PRODUCT,6/29/20,5146
DXX,MY_PRODUCT,6/30/20,5283
DXX,MY_PRODUCT,7/1/20,4760
DXX,MY_PRODUCT,7/2/20,4373
DXX,MY_PRODUCT,7/3/20,4006
DXX,MY_PRODUCT,7/4/20,2946
DXX,MY_PRODUCT,7/5/20,2714
DXX,MY_PRODUCT,7/6/20,4905
DXX,MY_PRODUCT,7/7/20,4722
DXX,MY_PRODUCT,7/8/20,4685
DXX,MY_PRODUCT,7/9/20,4502
DXX,MY_PRODUCT,7/10/20,4194
DXX,MY_PRODUCT,7/11/20,3355
DXX,MY_PRODUCT,7/12/20,2706
DXX,MY_PRODUCT,7/13/20,5038
DXX,MY_PRODUCT,7/14/20,4791
DXX,MY_PRODUCT,7/15/20,4764
DXX,MY_PRODUCT,7/16/20,4513
DXX,MY_PRODUCT,7/17/20,4331
DXX,MY_PRODUCT,7/18/20,3537
DXX,MY_PRODUCT,7/19/20,2879
DXX,MY_PRODUCT,7/20/20,5021
DXX,MY_PRODUCT,7/21/20,4915
DXX,MY_PRODUCT,7/22/20,4937
DXX,MY_PRODUCT,7/23/20,4851
DXX,MY_PRODUCT,7/24/20,4408
DXX,MY_PRODUCT,7/25/20,3492
DXX,MY_PRODUCT,7/26/20,1914